Date,ACWI SMID VALUE SMID (Small+Mid Cap)
2005-01-24,596.768
2005-01-25,595.569
2005-01-26,601.514
2005-01-27,601.819
2005-01-28,600.331
2005-01-31,607.171
2005-02-01,609.61
2005-02-02,613.792
2005-02-03,612.432
2005-02-04,618.26
2005-02-07,617.258
2005-02-08,616.48
2005-02-09,613.735
2005-02-10,616.316
2005-02-11,620.117
2005-02-14,623.391
2005-02-15,624.75
2005-02-16,624.623
2005-02-17,624.085
2005-02-18,624.425
2005-02-21,624.12
2005-02-22,619.312
2005-02-23,618.298
2005-02-24,622.167
2005-02-25,629.495
2005-02-28,630.984
2005-03-01,633.405
2005-03-02,631.613
2005-03-03,632.976
2005-03-04,640.836
2005-03-07,641.532
2005-03-08,641.364
2005-03-09,637.506
2005-03-10,636.049
2005-03-11,637.425
2005-03-14,637.535
2005-03-15,635.34
2005-03-16,632.933
2005-03-17,632.738
2005-03-18,630.855
2005-03-21,627.929
2005-03-22,625.666
2005-03-23,617.952
2005-03-24,618.346
2005-03-25,618.757
2005-03-28,617.063
2005-03-29,611.131
2005-03-30,615.616
2005-03-31,620.504
2005-04-01,621.171
2005-04-04,617.583
2005-04-05,619.409
2005-04-06,621.583
2005-04-07,624.266
2005-04-08,621.059
2005-04-11,621.666
2005-04-12,621.973
2005-04-13,618.955
2005-04-14,609.452
2005-04-15,601.178
2005-04-18,597.831
2005-04-19,605.649
2005-04-20,601.91
2005-04-21,606.294
2005-04-22,607.274
2005-04-25,610.549
2005-04-26,605.925
2005-04-27,603.321
2005-04-28,597.899
2005-04-29,602.229
2005-05-02,604.126
2005-05-03,603.671
2005-05-04,610.424
2005-05-05,611.325
2005-05-06,612.174
2005-05-09,614.17
2005-05-10,610.707
2005-05-11,610.518
2005-05-12,603.894
2005-05-13,599.157
2005-05-16,600.988
2005-05-17,602.905
2005-05-18,609.301
2005-05-19,612.603
2005-05-20,611.316
2005-05-23,615.13
2005-05-24,614.635
2005-05-25,611.369
2005-05-26,614.239
2005-05-27,617.097
2005-05-30,618.167
2005-05-31,617.755
2005-06-01,621.453
2005-06-02,622.473
2005-06-03,622.142
2005-06-06,623.764
2005-06-07,625.246
2005-06-08,626.178
2005-06-09,624.581
2005-06-10,625.682
2005-06-13,626.172
2005-06-14,629.075
2005-06-15,631.746
2005-06-16,635.363
2005-06-17,639.859
2005-06-20,637.402
2005-06-21,637.251
2005-06-22,638.562
2005-06-23,635.268
2005-06-24,631.508
2005-06-27,630.07
2005-06-28,634.831
2005-06-29,635.434
2005-06-30,634.427
2005-07-01,635.57
2005-07-04,634.919
2005-07-05,637.093
2005-07-06,636.553
2005-07-07,634.63
2005-07-08,640.795
2005-07-11,648.244
2005-07-12,651.275
2005-07-13,649.299
2005-07-14,648.773
2005-07-15,647.733
2005-07-18,647.616
2005-07-19,650.165
2005-07-20,653.798
2005-07-21,654.418
2005-07-22,657.938
2005-07-25,655.398
2005-07-26,655.418
2005-07-27,657.798
2005-07-28,662.672
2005-07-29,662.844
2005-08-01,665.049
2005-08-02,669.915
2005-08-03,671.581
2005-08-04,667.141
2005-08-05,659.361
2005-08-08,657.826
2005-08-09,660.026
2005-08-10,664.888
2005-08-11,669.251
2005-08-12,667.819
2005-08-15,668.627
2005-08-16,664.412
2005-08-17,662.786
2005-08-18,657.73
2005-08-19,658.38
2005-08-22,664.111
2005-08-23,662.387
2005-08-24,660.824
2005-08-25,662.248
2005-08-26,660.052
2005-08-29,659.269
2005-08-30,657.57
2005-08-31,665.968
2005-09-01,673.127
2005-09-02,674.015
2005-09-05,675.06
2005-09-06,679.149
2005-09-07,680.267
2005-09-08,677.367
2005-09-09,683.137
2005-09-12,683.142
2005-09-13,679.026
2005-09-14,679.443
2005-09-15,678.736
2005-09-16,681.084
2005-09-19,678.413
2005-09-20,677.535
2005-09-21,672.807
2005-09-22,670.808
2005-09-23,670.729
2005-09-26,674.625
2005-09-27,672.913
2005-09-28,674.928
2005-09-29,681.327
2005-09-30,684.132
2005-10-03,683.267
2005-10-04,680.222
2005-10-05,669.361
2005-10-06,663.151
2005-10-07,664.176
2005-10-10,660.264
2005-10-11,659.16
2005-10-12,654.602
2005-10-13,648.546
