Date,KOKUSAI INDEX (WORLD ex JP) GROWTH Standard (Large+Mid Cap)
2004-09-13,2611.732
2004-09-14,2618.14
2004-09-15,2591.876
2004-09-16,2596.08
2004-09-17,2608.166
2004-09-20,2598.171
2004-09-21,2618.972
2004-09-22,2591.015
2004-09-23,2587.641
2004-09-24,2585.593
2004-09-27,2569.844
2004-09-28,2583.919
2004-09-29,2600.152
2004-09-30,2605.966
2004-10-01,2645.91
2004-10-04,2652.335
2004-10-05,2654.459
2004-10-06,2662.44
2004-10-07,2639.433
2004-10-08,2628.224
2004-10-11,2628.107
2004-10-12,2609.979
2004-10-13,2601.62
2004-10-14,2587.307
2004-10-15,2597.761
2004-10-18,2612.06
2004-10-19,2610.535
2004-10-20,2614.284
2004-10-21,2626.558
2004-10-22,2604.468
2004-10-25,2596.967
2004-10-26,2622.697
2004-10-27,2661.088
2004-10-28,2668.277
2004-10-29,2667.966
2004-11-01,2675.826
2004-11-02,2684.77
2004-11-03,2717.346
2004-11-04,2740.972
2004-11-05,2759.835
2004-11-08,2757.71
2004-11-09,2753.749
2004-11-10,2751.212
2004-11-11,2774.335
2004-11-12,2798.216
2004-11-15,2803.858
2004-11-16,2789.103
2004-11-17,2813.899
2004-11-18,2812.784
2004-11-19,2787.272
2004-11-22,2790.62
2004-11-23,2793.274
2004-11-24,2808.385
2004-11-25,2821.271
2004-11-26,2820.301
2004-11-29,2818.945
2004-11-30,2801.491
2004-12-01,2841.964
2004-12-02,2847.109
2004-12-03,2853.564
2004-12-06,2850.323
2004-12-07,2832.706
2004-12-08,2825.787
2004-12-09,2827.383
2004-12-10,2821.554
2004-12-13,2845.184
2004-12-14,2855.15
2004-12-15,2867.375
2004-12-16,2858.623
2004-12-17,2832.414
2004-12-20,2844.212
2004-12-21,2856.74
2004-12-22,2869.086
2004-12-23,2879.066
2004-12-24,2884.795
2004-12-27,2885.262
2004-12-28,2899.918
2004-12-29,2899.691
2004-12-30,2905.487
2004-12-31,2901.707
2005-01-03,2881.514
2005-01-04,2846.133
2005-01-05,2829.797
2005-01-06,2828.871
2005-01-07,2827.165
2005-01-10,2838.919
2005-01-11,2826.628
2005-01-12,2839.399
2005-01-13,2819.137
2005-01-14,2824.264
2005-01-17,2828.768
2005-01-18,2837.404
2005-01-19,2823.257
2005-01-20,2797.523
2005-01-21,2788.456
2005-01-24,2781.004
2005-01-25,2788.583
2005-01-26,2811.632
2005-01-27,2815.655
2005-01-28,2805.532
2005-01-31,2824.701
2005-02-01,2837.388
2005-02-02,2848.666
2005-02-03,2833.342
2005-02-04,2860.371
2005-02-07,2855.472
2005-02-08,2854.255
2005-02-09,2837.936
2005-02-10,2852.332
2005-02-11,2874.426
2005-02-14,2884.831
2005-02-15,2895.051
2005-02-16,2890.909
2005-02-17,2884.625
2005-02-18,2889.678
2005-02-21,2892.874
2005-02-22,2874.596
2005-02-23,2871.048
2005-02-24,2884.571
2005-02-25,2910.476
2005-02-28,2901.112
2005-03-01,2913.488
2005-03-02,2908.807
2005-03-03,2911.413
2005-03-04,2942.061
2005-03-07,2946.732
2005-03-08,2943.808
2005-03-09,2926.655
2005-03-10,2922.828
2005-03-11,2911.682
2005-03-14,2910.621
2005-03-15,2901.214
2005-03-16,2886.363
2005-03-17,2886.613
2005-03-18,2877.845
2005-03-21,2861.847
2005-03-22,2853.819
2005-03-23,2835.581
2005-03-24,2836.674
2005-03-25,2836.674
2005-03-28,2834.709
2005-03-29,2824.055
2005-03-30,2849.796
2005-03-31,2848.009
2005-04-01,2836.724
2005-04-04,2828.007
2005-04-05,2848.817
2005-04-06,2853.566
2005-04-07,2873.41
2005-04-08,2858.399
2005-04-11,2862.338
2005-04-12,2861.644
2005-04-13,2847.659
2005-04-14,2820.924
2005-04-15,2788.932
2005-04-18,2778.874
2005-04-19,2799.359
2005-04-20,2779.427
2005-04-21,2817.754
2005-04-22,2808.533
2005-04-25,2816.805
2005-04-26,2798.551
2005-04-27,2791.692
2005-04-28,2770.883
2005-04-29,2789.474
2005-05-02,2796.252
2005-05-03,2803.945
2005-05-04,2835.151
2005-05-05,2837.661
2005-05-06,2837.038
2005-05-09,2843.144
2005-05-10,2824.226
2005-05-11,2824.819
2005-05-12,2811.152
2005-05-13,2805.33
