Date,BELGIUM VALUE Standard (Large+Mid Cap)
2005-03-08,14085.847
2005-03-09,14132.919
2005-03-10,14047.897
2005-03-11,14155.407
2005-03-14,13995.965
2005-03-15,13990.808
2005-03-16,14023.964
2005-03-17,14003.775
2005-03-18,14025.568
2005-03-21,13988.941
2005-03-22,13999.448
2005-03-23,13747.445
2005-03-24,13854.038
2005-03-25,13854.038
2005-03-28,13756.809
2005-03-29,13808.026
2005-03-30,13828.262
2005-03-31,13850.89
2005-04-01,13797.344
2005-04-04,13606.574
2005-04-05,13735.171
2005-04-06,13836.03
2005-04-07,13931.029
2005-04-08,13939.748
2005-04-11,14063.228
2005-04-12,13897.273
2005-04-13,14031.743
2005-04-14,13836.118
2005-04-15,13872.794
2005-04-18,13644.74
2005-04-19,13778.616
2005-04-20,13680.353
2005-04-21,13743.243
2005-04-22,13826.118
2005-04-25,13867.87
2005-04-26,13870.683
2005-04-27,13655.586
2005-04-28,13547.601
2005-04-29,13625.241
2005-05-02,13646.827
2005-05-03,13724.495
2005-05-04,13910.576
2005-05-05,13993.315
2005-05-06,13908.271
2005-05-09,13870.941
2005-05-10,13873.079
2005-05-11,13730.286
2005-05-12,13671.79
2005-05-13,13497.599
2005-05-16,13467.104
2005-05-17,13496.072
2005-05-18,13677.182
2005-05-19,13758.925
2005-05-20,13676.008
2005-05-23,13755.847
2005-05-24,13811.459
2005-05-25,13826.863
2005-05-26,13800.417
2005-05-27,13917.841
