Date,USA IMI VALUE IMI (Large+Mid+Small Cap)
2005-07-06,715.46
2005-07-07,717.011
2005-07-08,724.9
2005-07-11,729.481
2005-07-12,730.334
2005-07-13,731.041
2005-07-14,731.163
2005-07-15,731.767
2005-07-18,727.025
2005-07-19,731.249
2005-07-20,734.83
2005-07-21,728.314
2005-07-22,734.103
2005-07-25,731.642
2005-07-26,732.383
2005-07-27,734.737
2005-07-28,739.341
2005-07-29,734.135
2005-08-01,734.206
2005-08-02,738.965
2005-08-03,739.19
2005-08-04,733.483
2005-08-05,725.665
2005-08-08,723.614
2005-08-09,728.123
2005-08-10,728.715
2005-08-11,734.394
2005-08-12,730.767
2005-08-15,732.611
2005-08-16,724.806
2005-08-17,724.404
2005-08-18,723.553
2005-08-19,724.85
2005-08-22,726.727
2005-08-23,724.248
2005-08-24,720.183
2005-08-25,722.062
2005-08-26,716.659
2005-08-29,720.565
2005-08-30,719.082
2005-08-31,727.968
2005-09-01,730.637
2005-09-02,728.316
2005-09-05,728.316
2005-09-06,736.481
2005-09-07,738.282
2005-09-08,735.701
2005-09-09,742.516
2005-09-12,742.107
2005-09-13,736.675
2005-09-14,735.8
2005-09-15,736.379
2005-09-16,743.506
2005-09-19,739.954
2005-09-20,734.611
2005-09-21,727.083
2005-09-22,728.428
2005-09-23,728.761
2005-09-26,730.565
2005-09-27,730.44
2005-09-28,730.966
2005-09-29,738.016
2005-09-30,737.423
2005-10-03,736.606
2005-10-04,727.515
2005-10-05,715.823
2005-10-06,712.992
2005-10-07,716.347
2005-10-10,709.891
2005-10-11,708.481
2005-10-12,703.119
2005-10-13,701.05
2005-10-14,707.407
2005-10-17,710.136
2005-10-18,701.364
2005-10-19,710.582
