Date,USA IMI VALUE IMI (Large+Mid+Small Cap)
2004-11-02,661.462
2004-11-03,669.523
2004-11-04,681.572
2004-11-05,682.161
2004-11-08,681.312
2004-11-09,681.604
2004-11-10,682.965
2004-11-11,688.763
2004-11-12,695.368
2004-11-15,693.513
2004-11-16,689.518
2004-11-17,693.047
2004-11-18,693.615
2004-11-19,687.195
2004-11-22,691.989
2004-11-23,693.242
2004-11-24,696.311
2004-11-25,696.311
2004-11-26,697.67
2004-11-29,695.356
2004-11-30,694.292
2004-12-01,703.14
2004-12-02,700.371
2004-12-03,700.677
2004-12-06,699.539
2004-12-07,691.46
2004-12-08,694.204
2004-12-09,696.527
2004-12-10,697.171
2004-12-13,704.211
2004-12-14,706.19
2004-12-15,710.041
2004-12-16,707.904
2004-12-17,702.608
2004-12-20,703.153
2004-12-21,710.112
2004-12-22,713.051
2004-12-23,713.476
2004-12-24,713.476
2004-12-27,709.728
2004-12-28,714.801
2004-12-29,714.877
2004-12-30,714.742
2004-12-31,713.927
2005-01-03,706.629
2005-01-04,699.413
2005-01-05,695.138
2005-01-06,698.773
2005-01-07,696.032
2005-01-10,698.06
2005-01-11,693.343
2005-01-12,695.359
2005-01-13,691.104
2005-01-14,695.417
2005-01-17,695.417
2005-01-18,703.41
2005-01-19,697.028
2005-01-20,692.783
2005-01-21,689.12
2005-01-24,688.239
2005-01-25,689.356
2005-01-26,693.027
2005-01-27,693.345
2005-01-28,691.052
2005-01-31,698.279
2005-02-01,704.026
2005-02-02,706.564
2005-02-03,705.634
2005-02-04,714.06
2005-02-07,713.942
2005-02-08,715.104
2005-02-09,710.019
2005-02-10,712.821
2005-02-11,717.161
2005-02-14,718.623
2005-02-15,719.768
2005-02-16,720.978
2005-02-17,715.369
2005-02-18,716.69
2005-02-21,716.69
2005-02-22,705.554
2005-02-23,710.128
2005-02-24,716.218
2005-02-25,725.051
2005-02-28,720.647
2005-03-01,723.948
2005-03-02,724.092
2005-03-03,724.62
2005-03-04,732.965
2005-03-07,733.875
2005-03-08,730.792
2005-03-09,721.318
2005-03-10,722.077
2005-03-11,718.954
2005-03-14,724.243
2005-03-15,719.179
2005-03-16,713.263
2005-03-17,715.245
2005-03-18,715.163
2005-03-21,711.153
2005-03-22,702.789
2005-03-23,701.2
2005-03-24,700.976
2005-03-25,700.976
2005-03-28,702.298
2005-03-29,696.446
2005-03-30,706.354
2005-03-31,708.216
2005-04-01,705.491
2005-04-04,705.967
2005-04-05,707.701
2005-04-06,711.129
2005-04-07,714.399
2005-04-08,708.13
2005-04-11,708.499
2005-04-12,713.154
2005-04-13,704.663
2005-04-14,697.272
2005-04-15,685.816
2005-04-18,689.517
2005-04-19,694.913
2005-04-20,684.901
2005-04-21,696.756
2005-04-22,694.193
2005-04-25,700.658
2005-04-26,694.17
2005-04-27,696.351
2005-04-28,687.879
2005-04-29,696.99
2005-05-02,700.363
2005-05-03,698.415
2005-05-04,707.719
2005-05-05,706.178
2005-05-06,704.586
2005-05-09,709.704
2005-05-10,701.96
2005-05-11,704.471
2005-05-12,694.931
2005-05-13,689.417
2005-05-16,696.892
2005-05-17,702.253
2005-05-18,709.918
2005-05-19,713.353
2005-05-20,712.311
2005-05-23,715.325
2005-05-24,714.639
2005-05-25,711.924
2005-05-26,716.367
2005-05-27,717.755
2005-05-30,717.755
2005-05-31,714.162
2005-06-01,721.044
2005-06-02,721.165
2005-06-03,717.397
2005-06-06,718.622
2005-06-07,718.993
2005-06-08,717.915
2005-06-09,721.411
2005-06-10,721.987
2005-06-13,723.714
2005-06-14,726.112
2005-06-15,728.405
2005-06-16,732.233
2005-06-17,736.945
2005-06-20,735.737
2005-06-21,733.419
2005-06-22,734.109
2005-06-23,726.646
2005-06-24,721.634
2005-06-27,721.748
2005-06-28,727.62
2005-06-29,727.467
2005-06-30,722.589
2005-07-01,726.104
2005-07-04,726.104
2005-07-05,732.494
2005-07-06,726.255
2005-07-07,727.808
2005-07-08,735.814
2005-07-11,740.46
2005-07-12,741.307
2005-07-13,741.99
2005-07-14,742.112
2005-07-15,742.723
2005-07-18,737.907
2005-07-19,742.192
2005-07-20,745.824
2005-07-21,739.208
2005-07-22,745.075
2005-07-25,742.577
2005-07-26,743.329
2005-07-27,745.661
2005-07-28,750.229
2005-07-29,744.938
2005-08-01,745.009
2005-08-02,749.832
2005-08-03,750.006
2005-08-04,744.205
2005-08-05,736.267
2005-08-08,734.173
2005-08-09,738.742
2005-08-10,739.197
2005-08-11,744.926
2005-08-12,741.24
2005-08-15,743.091
2005-08-16,735.172
2005-08-17,734.702
2005-08-18,733.83
2005-08-19,735.144
2005-08-22,737.048
2005-08-23,734.525
2005-08-24,730.386
2005-08-25,732.286
2005-08-26,726.801
2005-08-29,730.722
2005-08-30,729.192
2005-08-31,738.093
2005-09-01,740.797
2005-09-02,738.439
2005-09-05,738.439
2005-09-06,746.702
2005-09-07,748.477
2005-09-08,745.855
2005-09-09,752.763
2005-09-12,752.336
2005-09-13,746.743
2005-09-14,745.844
2005-09-15,746.412
2005-09-16,753.631
2005-09-19,750.029
2005-09-20,744.613
2005-09-21,736.97
2005-09-22,738.256
2005-09-23,738.593
2005-09-26,740.421
2005-09-27,740.289
2005-09-28,740.726
2005-09-29,747.854
2005-09-30,747.254
2005-10-03,746.42
2005-10-04,737.167
2005-10-05,725.201
2005-10-06,722.334
2005-10-07,725.727
2005-10-10,719.186
2005-10-11,717.732
2005-10-12,712.27
2005-10-13,710.168
2005-10-14,716.602
2005-10-17,719.366
2005-10-18,710.475
2005-10-19,719.808
