Date,SINGAPORE Standard (Large+Mid Cap)
2005-01-06,4340.339
2005-01-07,4326.542
2005-01-10,4338.506
2005-01-11,4363.843
2005-01-12,4363.857
2005-01-13,4396.741
2005-01-14,4358.429
2005-01-17,4386.992
2005-01-18,4373.477
2005-01-19,4414.256
2005-01-20,4378.399
2005-01-21,4379.998
2005-01-24,4373.075
2005-01-25,4344.427
2005-01-26,4404.03
2005-01-27,4374.894
2005-01-28,4399.284
2005-01-31,4419.755
2005-02-01,4393.423
2005-02-02,4425.255
2005-02-03,4413.737
2005-02-04,4430.07
2005-02-07,4429.599
2005-02-08,4449.601
2005-02-09,4448.123
2005-02-10,4444.901
2005-02-11,4467.12
2005-02-14,4527.176
2005-02-15,4525.235
2005-02-16,4490.907
2005-02-17,4511.086
2005-02-18,4536.778
2005-02-21,4524.445
2005-02-22,4511.099
2005-02-23,4482.312
2005-02-24,4499.097
2005-02-25,4456.697
2005-02-28,4453.498
2005-03-01,4449.43
2005-03-02,4479.381
2005-03-03,4492.43
2005-03-04,4496.611
2005-03-07,4524.587
2005-03-08,4536.959
2005-03-09,4596.181
2005-03-10,4565.742
2005-03-11,4559.729
2005-03-14,4545.877
2005-03-15,4536.406
2005-03-16,4561.637
2005-03-17,4540.109
2005-03-18,4559.279
2005-03-21,4570.976
2005-03-22,4558.479
2005-03-23,4467.807
2005-03-24,4466.79
2005-03-25,4466.79
2005-03-28,4432.113
2005-03-29,4390.279
2005-03-30,4384.897
2005-03-31,4427.289
2005-04-01,4401.433
2005-04-04,4404.968
2005-04-05,4423.176
2005-04-06,4439.75
2005-04-07,4488.79
2005-04-08,4497.625
2005-04-11,4517.954
2005-04-12,4497.637
2005-04-13,4503.3
2005-04-14,4450.989
2005-04-15,4410.975
2005-04-18,4326.217
2005-04-19,4388.596
2005-04-20,4402.101
2005-04-21,4421.835
2005-04-22,4420.623
2005-04-25,4438.4
2005-04-26,4459.247
2005-04-27,4453.843
2005-04-28,4452.053
