Date,EUROPE IMI IMI (Large+Mid+Small Cap)
2004-09-21,504.052
2004-09-22,500.794
2004-09-23,499.582
2004-09-24,499.842
2004-09-27,498.088
2004-09-28,501.066
2004-09-29,502.962
2004-09-30,504.068
2004-10-01,511.34
2004-10-04,510.728
2004-10-05,513.06
2004-10-06,512.537
2004-10-07,511.76
2004-10-08,514.95
2004-10-11,513.255
2004-10-12,506.199
2004-10-13,505.934
2004-10-14,507.719
2004-10-15,510.477
2004-10-18,510.463
2004-10-19,515.243
2004-10-20,513.912
2004-10-21,517.082
2004-10-22,517.722
2004-10-25,515.302
2004-10-26,516.633
2004-10-27,522.531
2004-10-28,524.199
2004-10-29,522.296
2004-11-01,527.477
2004-11-02,530.368
2004-11-03,536.348
2004-11-04,538.248
2004-11-05,542.574
2004-11-08,543.611
2004-11-09,541.856
2004-11-10,543.287
2004-11-11,547.252
2004-11-12,550.741
2004-11-15,550.532
2004-11-16,548.624
2004-11-17,555.397
2004-11-18,554.027
2004-11-19,552.872
2004-11-22,549.463
2004-11-23,552.404
2004-11-24,555.228
2004-11-25,562.345
2004-11-26,562.435
2004-11-29,563.006
2004-11-30,561.104
2004-12-01,568.007
2004-12-02,568.8
2004-12-03,572.055
2004-12-06,571.978
2004-12-07,574.131
2004-12-08,566.297
2004-12-09,561.959
2004-12-10,562.651
2004-12-13,569.871
2004-12-14,570.008
2004-12-15,575.874
2004-12-16,572.241
2004-12-17,566.737
2004-12-20,575.8
2004-12-21,572.746
2004-12-22,576.214
2004-12-23,581.359
2004-12-24,583.519
2004-12-27,586.235
2004-12-28,585.928
2004-12-29,585.095
2004-12-30,587.105
2004-12-31,585.768
2005-01-03,583.498
2005-01-04,578.534
2005-01-05,574.11
2005-01-06,572.26
2005-01-07,570.726
2005-01-10,572.731
2005-01-11,571.103
2005-01-12,572.857
2005-01-13,571.597
2005-01-14,569.691
2005-01-17,571.483
2005-01-18,569.605
2005-01-19,571.362
2005-01-20,565.641
2005-01-21,567.152
2005-01-24,568.755
2005-01-25,568.673
2005-01-26,574.092
2005-01-27,575.034
2005-01-28,571.922
2005-01-31,576.817
2005-02-01,580.018
2005-02-02,583.045
2005-02-03,579.443
2005-02-04,584.368
2005-02-07,582.384
2005-02-08,580.6
2005-02-09,581.013
2005-02-10,585.051
2005-02-11,589.359
2005-02-14,594.383
2005-02-15,596.792
2005-02-16,594.254
2005-02-17,598.561
2005-02-18,599.381
2005-02-21,598.867
2005-02-22,601.34
2005-02-23,597.169
2005-02-24,597.56
2005-02-25,603.623
2005-02-28,605.677
2005-03-01,606.004
2005-03-02,602.696
2005-03-03,603.436
2005-03-04,612.96
2005-03-07,609.989
2005-03-08,613.753
2005-03-09,611.228
2005-03-10,608.583
2005-03-11,612.253
2005-03-14,607.268
2005-03-15,609.465
2005-03-16,607.411
2005-03-17,605.15
2005-03-18,602.353
2005-03-21,596.343
2005-03-22,598.272
2005-03-23,587.451
2005-03-24,588.762
2005-03-25,588.762
2005-03-28,585.702
2005-03-29,587.886
2005-03-30,588.532
2005-03-31,590.51
2005-04-01,591.91
2005-04-04,583.332
2005-04-05,588.837
2005-04-06,591.746
2005-04-07,596.154
2005-04-08,595.111
2005-04-11,599.211
2005-04-12,593.882
2005-04-13,597.353
2005-04-14,591.767
2005-04-15,588.384
2005-04-18,581.941
2005-04-19,587.038
2005-04-20,585.958
2005-04-21,586.926
2005-04-22,590.49
2005-04-25,588.553
2005-04-26,585.517
2005-04-27,578.215
2005-04-28,575.588
2005-04-29,576.596
2005-05-02,575.352
2005-05-03,579.948
2005-05-04,586.008
2005-05-05,588.596
2005-05-06,587.003
2005-05-09,584.311
2005-05-10,582.677
2005-05-11,579.052
2005-05-12,578.163
2005-05-13,575.356
2005-05-16,571.928
2005-05-17,573.119
2005-05-18,579.853
2005-05-19,581.953
2005-05-20,579.12
2005-05-23,583.647
2005-05-24,583.634
2005-05-25,583.954
2005-05-26,584.77
2005-05-27,585.533
2005-05-30,585.325
2005-05-31,579.522
2005-06-01,583.298
2005-06-02,584.281
2005-06-03,582.842
2005-06-06,581.628
2005-06-07,587.864
2005-06-08,589.529
2005-06-09,583.21
2005-06-10,583.394
2005-06-13,581.683
2005-06-14,582.917
2005-06-15,583.867
2005-06-16,585.837
2005-06-17,593.638
2005-06-20,589.438
2005-06-21,591.979
2005-06-22,592.591
2005-06-23,591.211
2005-06-24,588.308
2005-06-27,586.215
2005-06-28,587.161
2005-06-29,588.348
2005-06-30,588.388
2005-07-01,586.23
2005-07-04,584.658
2005-07-05,583.48
2005-07-06,588.076
2005-07-07,578.676
2005-07-08,585.725
2005-07-11,595.584
2005-07-12,599.852
2005-07-13,597.917
2005-07-14,601.025
2005-07-15,596.944
2005-07-18,596.292
2005-07-19,595.032
2005-07-20,594.849
2005-07-21,600.973
2005-07-22,601.307
2005-07-25,601.347
2005-07-26,599.771
2005-07-27,602.623
2005-07-28,607.958
2005-07-29,610.866
2005-08-01,614.59
2005-08-02,619.203
2005-08-03,624.359
2005-08-04,622.583
2005-08-05,618.799
2005-08-08,624.044
2005-08-09,626.698
2005-08-10,634.086
2005-08-11,635.084
2005-08-12,633.556
2005-08-15,630.069
2005-08-16,626.767
2005-08-17,624.408
2005-08-18,616.1
2005-08-19,620.188
2005-08-22,625.135
2005-08-23,620.292
2005-08-24,619.954
2005-08-25,617.663
2005-08-26,616.146
2005-08-29,614.638
2005-08-30,610.717
2005-08-31,620.877
2005-09-01,633.948
2005-09-02,637.74
2005-09-05,639.5
2005-09-06,642.655
2005-09-07,643.312
2005-09-08,640.822
2005-09-09,643.758
2005-09-12,637.873
2005-09-13,633.167
2005-09-14,636.812
2005-09-15,632.702
2005-09-16,636.345
2005-09-19,634.583
2005-09-20,636.567
2005-09-21,633.219
2005-09-22,626.798
2005-09-23,625.538
2005-09-26,630.67
2005-09-27,627.36
2005-09-28,632.772
2005-09-29,631.074
2005-09-30,635.809
2005-10-03,632.882
2005-10-04,635.898
2005-10-05,630.331
2005-10-06,630.75
2005-10-07,627.001
2005-10-10,625.066
2005-10-11,623.875
2005-10-12,621.159
2005-10-13,609.65
2005-10-14,617.465
2005-10-17,615.1
2005-10-18,608.676
2005-10-19,600.801
2005-10-20,603.474
